id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
6663607,30 mins,50 mins, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6740849,25 mins,35 mins, 1 hr 15 mins,,,,,,,15 mins,,,,,,,,,,,
7508367,20 mins,50 mins, 3 hrs 10 mins,,,, 2 hrs,,,,,,,,,,,,,,
6599611,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6571544,20 mins,50 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6649646,15 mins,15 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6738936,15 mins,45 mins, 1 hr 15 mins,,,,,,,15 mins,,,,,,,,,,,
6590572,25 mins, 1 hr 5 mins, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6649546,30 mins, 1 hr, 1 hr 40 mins,,,,,,,10 mins,,,,,,,,,,,
6585101,25 mins,55 mins, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6601530,20 mins,40 mins, 1 hr,,,,,,,,,,,,,,,,,,
6562725,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6739186,30 mins,15 mins,45 mins,,,,,,,,,,,,,,,,,,
6578724,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6576905,15 mins,40 mins,55 mins,,,,,,,,,,,,,,,,,,
6573495,20 mins, 1 hr, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6650756,20 mins,30 mins, 1 hr 20 mins,,,,,,,30 mins,,,,,,,,,,,
6737427,25 mins, 1 hr, 1 hr 25 mins,,,,,,,,,,,,,,,,,,
6737730,30 mins,40 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6590369,25 mins, 1 hr, 1 hr 45 mins,,,,,,,20 mins,,,,,,,,,,,
6739162,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6588973,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6650624,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6592720,,,,,,,,,,,,,,,,,,,,,
6575836,30 mins,45 mins, 1 hr 45 mins,,,,,,,30 mins,,,,,,,,,,,
6572877,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6664570, 1 hr,40 mins, 1 hr 40 mins,,,,,,,,,,,,,,,,,,
6568503,,,,,,,,,,,,,,,,,,,,,
6593398,,,,,,,,,,,,,,,,,,,,,
6592125,25 mins,45 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6572860,20 mins,40 mins, 1 hr 30 mins,,,,,,,30 mins,,,,,,,,,,,
6601198,,,,,,,,,,,,,,,,,,,,,
6573808,15 mins, 1 hr 5 mins, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6578047,20 mins,50 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6598313,10 mins,55 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6597880,20 mins, 1 hr, 1 hr 25 mins,,,,,,,5 mins,,,,,,,,,,,
6590886,30 mins,50 mins, 2 hrs 20 mins,,,,,,, 1 hr,,,,,,,,,,,
6736374,15 mins,45 mins, 3 hrs,,,,,,, 2 hrs,,,,,,,,,,,
6649933,,,,,,,,,,,,,,,,,,,,,
6596220,20 mins,40 mins, 1 hr,,,,,,,,,,,,,,,,,,
6587483,30 mins,55 mins, 1 hr 55 mins,,,,,,,30 mins,,,,,,,,,,,
6595993,15 mins, 1 hr 10 mins, 1 hr 25 mins,,,,,,,,,,,,,,,,,,
6579291,20 mins,55 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6575460,20 mins, 1 hr, 1 hr 40 mins,,,,,,,20 mins,,,,,,,,,,,
6594335,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6574131,45 mins,50 mins, 1 hr 35 mins,,,,,,,,,,,,,,,,,,
6599866,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6601483,30 mins,30 mins, 2 hrs 30 mins,,,,,,, 1 hr 30 mins,,,,,,,,,,,
